Tarih;Açýklama;Tutar;Bakiye
31.03.2025;001116426 YI-DB AKPOS PES ODE 20250219;140,00;9.644,18
31.03.2025;001116426 YI-EC AKPOS PES ODE 20250219;300,00;9.504,18
31.03.2025;001116426 YI-VS AKPOS PES ODE 20250219;1055,00;9.204,18
30.03.2025;001116426 YI-TY AKPOS PES ODE 20250218;120,00;8.149,18
30.03.2025;001116426 YI-EC AKPOS PES ODE 20250218;450,00;8.029,18
30.03.2025;001116426 YI-VS AKPOS PES ODE 20250218;75,00;7.579,18
30.03.2025;001116426 YI-DB AKPOS PES ODE 20250218;3695,00;7.504,18
30.03.2025;001116426 AX-MC AKPOS PES ODE 20250218;680,00;3.809,18
29.03.2025;001116426 YI-EC AKPOS PES ODE 20250217;2435,00;3.129,18
29.03.2025;001116426 AX-MC AKPOS PES ODE 20250217;255,00;694,18
29.03.2025;001116426 YI-VS AKPOS PES ODE 20250217;250,00;439,18
29.03.2025;001116426 YI-DB AKPOS PES ODE 20250217;170,00;189,18
28.03.2025;777/KÝÞ-EFT BSMV;-0,61;19,18
28.03.2025;777/KÝÞ-EFT KOMÝSYONU;-12,19;19,79
28.03.2025;777/KÝÞ-5091967-ALANYA ÖZKAN KIRT.MAT.YAY.TÝC.LTD-AKBANK TAN HALKBANK A EFT;-113350,00;31,98
28.03.2025;001116426 YI-EC AKPOS PES ODE 20250216;100,00;113.381,98
27.03.2025;001116426 AX-MC AKPOS PES ODE 20250215;420,00;113.281,98
27.03.2025;001116426 YI-DB AKPOS PES ODE 20250215;325,00;112.861,98
27.03.2025;001116426 YI-EC AKPOS PES ODE 20250215;3240,00;112.536,98
27.03.2025;001116426 YI-VS AKPOS PES ODE 20250215;1770,00;109.296,98
27.03.2025;001116426 YI-TY AKPOS PES ODE 20250215;150,00;107.526,98
26.03.2025;001116426 YI-VS AKPOS PES ODE 20250214;4150,00;107.376,98
26.03.2025;001116426 YI-EC AKPOS PES ODE 20250214;350,00;103.226,98
26.03.2025;001116426 AX-MC AKPOS PES ODE 20250214;895,00;102.876,98
26.03.2025;001116426 YI-DB AKPOS PES ODE 20250214;3075,00;101.981,98
26.03.2025;001116426 AX-VS AKPOS PES ODE 20250214;795,00;98.906,98
25.03.2025;001116426 AK-DB AKPOS PES ODE 20250213;150,00;98.111,98
25.03.2025;001116426 YI-TY AKPOS PES ODE 20250213;3915,00;97.961,98
25.03.2025;001116426 YI-EC AKPOS PES ODE 20250213;775,00;94.046,98
25.03.2025;001116426 YI-DB AKPOS PES ODE 20250213;435,00;93.271,98
25.03.2025;001116426 AX-MC AKPOS PES ODE 20250213;350,00;92.836,98
25.03.2025;001116426 AX-VS AKPOS PES ODE 20250213;250,00;92.486,98
25.03.2025;001116426 YI-VS AKPOS PES ODE 20250213;700,00;92.236,98
24.03.2025;001116426 YI-VS AKPOS PES ODE 20250212;2750,00;91.536,98
24.03.2025;001116426 YI-TD AKPOS PES ODE 20250212;85,00;88.786,98
