Ýþlem Tarihi;Açýklama;Ýþlem Tutarý;Yeni Bakiye
01.01.2025;BATCH VALOR ÇOZUM 21-11-2024 /000000001120365 P POS Satýþ          /01455175144;50,00;274163,21
01.01.2025;BATCH VALOR ÇOZUM 21-11-2024 /000000001120365 P POS Satýþ          /01455175155;10000,00;284163,21
01.01.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001488378678;-333,33;283829,88
01.01.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001488378678;-16,67;283813,21
01.01.2025;000000001120365/PAU1                   POS Aidat        02003840/000001488378676;-238,09;283575,12
01.01.2025;000000001120365/PAU1                   POS Aidat        02003840/000001488378676;-11,90;283563,22
02.01.2025;BATCH VALOR ÇOZUM 22-11-2024 /000000001120365 P POS Satýþ          /01455989583;16907,76;300470,98
02.01.2025;BATCH VALOR ÇOZUM 22-11-2024 /000000001120365 P POS Satýþ          /01455989563;17835,16;318306,14
06.01.2025;ALANYA ÖZKAN KIRTASÝYE.MAT.YAY.ÝNÞ.TÝC.L/AKBANK TAN HALKBANK A EFT;433000,00;751306,14
06.01.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;731306,14
07.01.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2024 ARALIK;-406074,82;325231,32
08.01.2025;BATCH VALOR ÇOZUM 28-11-2024 /000000001120365 P POS Satýþ          /01460684820;5572,38;330803,70
08.01.2025;BATCH VALOR ÇOZUM 28-11-2024 /000000001120365 P POS Satýþ          /01460684824;70000,00;400803,70
09.01.2025;ELVAN KARAKAN STAJYER ÜCRETÝ;-8216,00;392587,70
09.01.2025;HAVALE-CARI HESABA MAHSUBEN;15638,89;408226,59
10.01.2025;BATCH VALOR ÇOZUM 30-11-2024 /000000001120365 P POS Satýþ          /01462324826;9517,26;417743,85
12.01.2025;BATCH VALOR ÇOZUM 02-12-2024 /000000001120365 P POS Satýþ          /01464183929;8018,85;425762,70
12.01.2025;BATCH VALOR ÇOZUM 02-12-2024 /000000001120365 P POS Satýþ          /01464183942;8268,37;434031,07
12.01.2025;BATCH VALOR ÇOZUM 02-12-2024 /000000001120365 P POS Satýþ          /01464183928;25373,77;459404,84
13.01.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744862053974;-31600,00;427804,84
14.01.2025;BATCH VALOR ÇOZUM 04-12-2024 /000000001120365 P POS Satýþ          /01465772963;1550,00;429354,84
14.01.2025;BATCH VALOR ÇOZUM 04-12-2024 /000000001120365 P POS Satýþ          /01465772969;19000,00;448354,84
14.01.2025;BATCH VALOR ÇOZUM 04-12-2024 /000000001120365 P POS Satýþ          /01465772964;63088,74;511443,58
15.01.2025;BATCH VALOR ÇOZUM 05-12-2024 /000000001120365 P POS Satýþ          /01466572256;2500,00;513943,58
15.01.2025;BATCH VALOR ÇOZUM 05-12-2024 /000000001120365 P POS Satýþ          /01466572254;13373,47;527317,05
15.01.2025;BATCH VALOR ÇOZUM 05-12-2024 /000000001120365 P POS Satýþ          /01466572255;13645,00;540962,05
16.01.2025;9927702875            ,Türk Telekom (Mob,OTM ÖDEME,20241896231937;-1914,00;539048,05
16.01.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002024133695648;-704,00;538344,05
17.01.2025;BATCH VALOR ÇOZUM 07-12-2024 /000000001120365 P POS Satýþ          /01468216483;297,60;538641,65
19.01.2025;BATCH VALOR ÇOZUM 09-12-2024 /000000001120365 P POS Satýþ          /01469724187;250,00;538891,65
19.01.2025;BATCH VALOR ÇOZUM 09-12-2024 /000000001120365 P POS Satýþ          /01469724186;21513,96;560405,61
20.01.2025;BATCH VALOR ÇOZUM 10-12-2024 /000000001120365 P POS Satýþ          /01470539852;4879,84;565285,45
20.01.2025;BATCH VALOR ÇOZUM 10-12-2024 /000000001120365 P POS Satýþ          /01470539853;12135,00;577420,45
20.01.2025;4988520000486642 KREDÝ KARTI OTOMATÝK VÝRMAN;-155974,79;421445,66
20.01.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002024120001742;-94,00;421351,66
20.01.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002024120001743;-180,75;421170,91
26.01.2025;BATCH VALOR ÇOZUM 16-12-2024 /000000001120365 P POS Satýþ          /01475327605;1000,00;422170,91
26.01.2025;BATCH VALOR ÇOZUM 16-12-2024 /000000001120365 P POS Satýþ          /01475327617;13036,93;435207,84
27.01.2025;585999                ,Antalya Su       ,OTM ÖDEME,232634117  -500;-3958,94;431248,90
27.01.2025;BATCH VALOR ÇOZUM 17-12-2024 /000000001120365 P POS Satýþ          /01476163551;1000,00;432248,90
29.01.2025;BATCH VALOR ÇOZUM 19-12-2024 /000000001120365 P POS Satýþ          /01477813237;412,00;432660,90
29.01.2025;BATCH VALOR ÇOZUM 19-12-2024 /000000001120365 P POS Satýþ          /01477813236;1000,00;433660,90
30.01.2025;BATCH VALOR ÇOZUM 20-12-2024 /000000001120365 P POS Satýþ          /01478642942;10000,00;443660,90
30.01.2025;ALANYA ÖZKAN KIRTASÝYE MATBAACILIK YAYIN/HALKBANK HESABINA VÝRMAN;1.350.000,00;1.793.660,90
30.01.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC/HALKBANK HESABINA VÝRMAN;206339,10;2.000.000,00
31.01.2025;BATCH VALOR ÇOZUM 21-12-2024 /000000001120365 P POS Satýþ          /01479489554;1000,00;2.001.000,00
31.01.2025;0006631525     10100363 00000000 10260200;-200000,00;1.801.000,00
31.01.2025;6631535 01-TAKAS PROVÝZYON  10260200;-150000,00;1.651.000,00
31.01.2025;6631534 01-TAKAS PROVÝZYON  10260200;-150000,00;1.501.000,00
31.01.2025;3847350 01-TAKAS PROVÝZYON  10260200;-200000,00;1.301.000,00
31.01.2025;8425886 01-TAKAS PROVÝZYON  10260200;-300000,00;1.001.000,00
31.01.2025;8425890 01-TAKAS PROVÝZYON  10260200;-300000,00;701000,00
31.01.2025;8425882 01-TAKAS PROVÝZYON  10260200;-500000,00;201000,00
01.02.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001513191975;-476,19;200523,81
01.02.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001513191975;-23,81;200500,00
01.02.2025;000000001120365/PAU1                   POS Aidat        02003840/000001513191976;-380,95;200119,05
01.02.2025;000000001120365/PAU1                   POS Aidat        02003840/000001513191976;-19,05;200100,00
01.02.2025;000000001120365/PAU1                   POS Aidat        02217645/000001513191978;-380,95;199719,05
01.02.2025;000000001120365/PAU1                   POS Aidat        02217645/000001513191978;-19,05;199700,00
04.02.2025;BATCH VALOR ÇOZUM 25-12-2024 /000000001120365 P POS Satýþ          /01482632550;8417,94;208117,94
04.02.2025;BATCH VALOR ÇOZUM 25-12-2024 /000000001120365 P POS Satýþ          /01482632551;28849,00;236966,94
04.02.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;350000,00;586966,94
04.02.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;566966,94
06.02.2025;BATCH VALOR ÇOZUM 27-12-2024 /000000001120365 P POS Satýþ          /01484288228;4587,00;571553,94
07.02.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2024 OCAK;-488985,74;82568,20
07.02.2025;BATCH VALOR ÇOZUM 28-12-2024 /000000001120365 P POS Satýþ          /01485128030;6057,74;88625,94
07.02.2025;BATCH VALOR ÇOZUM 28-12-2024 /000000001120365 P POS Satýþ          /01485128034;7777,62;96403,56
07.02.2025;ELVAN KARAKAN STAJYER ÜCRETÝ;-11052,35;85351,21
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651866;122,50;85473,71
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651865;153,00;85626,71
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651868;527,75;86154,46
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651861;650,80;86805,26
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651869;853,90;87659,16
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651862;1015,00;88674,16
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651864;1160,69;89834,85
09.02.2025;BATCH VALOR ÇOZUM 30-12-2024 /000000001120365 P POS Satýþ          /01486651867;17175,56;107010,41
10.02.2025;BATCH VALOR ÇOZUM 31-12-2024 /000000001120365 P POS Satýþ          /01487516882;46,80;107057,21
10.02.2025;BATCH VALOR ÇOZUM 31-12-2024 /000000001120365 P POS Satýþ          /01487516883;129,20;107186,41
10.02.2025;BATCH VALOR ÇOZUM 31-12-2024 /000000001120365 P POS Satýþ          /01487516890;566,00;107752,41
10.02.2025;BATCH VALOR ÇOZUM 31-12-2024 /000000001120365 P POS Satýþ          /01487516881;1194,40;108946,81
