29.01.2025;Z00441;Ýþyeri no:000000000771359,Tutar : 834,1 Komisyon : 0,Bloke No : 1159712876, BT: 05/01/2025, ÇT:28/01/2025;834,10;214.365,52
29.01.2025;Z00440;Ýþyeri no:000000000771359,Tutar : 689,5 Komisyon : 0,Bloke No : 1159712874, BT: 05/01/2025, ÇT:28/01/2025;689,50;213.531,42
28.01.2025;F01214;VERGI-0015 GERÇEK USULDE K VD:007201-ÝÇ:0016796-THN:2025012701Mkx0000550-VN:0480525636 ALANYA ÖZKAN KIRTASÝ YE MATBAACIL;-188001,71;212.841,92
28.01.2025;Z01746;Ýþyeri no:000000000771359,Tutar : 60 Komisyon : 0,Bloke No : 1161268736, BT: 06/01/2025, ÇT:27/01/2025;60,00;400.843,63
28.01.2025;Z01745;Ýþyeri no:000000000771359,Tutar : 603,2 Komisyon : 0,Bloke No : 1161268735, BT: 06/01/2025, ÇT:27/01/2025;603,20;400.783,63
28.01.2025;Z01744;Ýþyeri no:000000000771359,Tutar : 109,02 Komisyon : 0,Bloke No : 1161268734, BT: 06/01/2025, ÇT:27/01/2025;109,02;400.180,43
28.01.2025;Z01743;Ýþyeri no:000000000771359,Tutar : 135 Komisyon : 0,Bloke No : 1161268730, BT: 06/01/2025, ÇT:27/01/2025;135,00;400.071,41
28.01.2025;Z01742;Ýþyeri no:000000000771359,Tutar : 716 Komisyon : 0,Bloke No : 1161268729, BT: 06/01/2025, ÇT:27/01/2025;716,00;399.936,41
27.01.2025;F24576;VERGI-0003 GELÝR VERGÝSÝ S VD:007201-ÝÇ:0012401-THN:2025011501Mkx0000200-VN:0480525636 ALANYA ÖZKAN KIRTASÝ YE MATBAACIL;-36122,04;399.220,41
27.01.2025;Z05494;Ýþyeri no:000000000771359,Tutar : 1070,4 Komisyon : 0,Bloke No : 1159712885, BT: 05/01/2025, ÇT:26/01/2025;1070,40;435.342,45
27.01.2025;Z05493;Ýþyeri no:000000000771359,Tutar : 371,2 Komisyon : 0,Bloke No : 1159712884, BT: 05/01/2025, ÇT:26/01/2025;371,20;434.272,05
27.01.2025;Z05492;Ýþyeri no:000000000771359,Tutar : 198,8 Komisyon : 0,Bloke No : 1159712883, BT: 05/01/2025, ÇT:26/01/2025;198,80;433.900,85
27.01.2025;Z05491;Ýþyeri no:000000000771359,Tutar : 1254 Komisyon : 0,Bloke No : 1159712879, BT: 05/01/2025, ÇT:26/01/2025;1254,00;433.702,05
27.01.2025;Z05490;Ýþyeri no:000000000771359,Tutar : 1503,25 Komisyon : 0,Bloke No : 1159712878, BT: 05/01/2025, ÇT:26/01/2025;1503,25;432.448,05
27.01.2025;Z05489;Ýþyeri no:000000000771359,Tutar : 44 Komisyon : 0,Bloke No : 1159712877, BT: 05/01/2025, ÇT:26/01/2025;44,00;430.944,80
27.01.2025;Z04784;Ýþyeri no:000000000771359,Tutar : 1895,88 Komisyon : 0,Bloke No : 1159712882, BT: 05/01/2025, ÇT:26/01/2025;1895,88;430.900,80
27.01.2025;Z04783;Ýþyeri no:000000000771359,Tutar : 3276,5 Komisyon : 0,Bloke No : 1159712881, BT: 05/01/2025, ÇT:26/01/2025;3276,50;429.004,92
27.01.2025;Z04782;Ýþyeri no:000000000771359,Tutar : 450,2 Komisyon : 0,Bloke No : 1159712880, BT: 05/01/2025, ÇT:26/01/2025;450,20;425.728,42
27.01.2025;Z04781;Ýþyeri no:000000000771359,Tutar : 4535,82 Komisyon : 0,Bloke No : 1159712875, BT: 05/01/2025, ÇT:26/01/2025;4535,82;425.278,22
27.01.2025;Z04780;Ýþyeri no:000000000771359,Tutar : 6802,02 Komisyon : 0,Bloke No : 1159712873, BT: 05/01/2025, ÇT:26/01/2025;6802,02;420.742,40
27.01.2025;Z04779;Ýþyeri no:000000000771359,Tutar : 996,09 Komisyon : 0,Bloke No : 1159712872, BT: 05/01/2025, ÇT:26/01/2025;996,09;413.940,38
26.01.2025;Z03854;Ýþyeri no:000000000771359,Tutar : 367,2 Komisyon : 0,Bloke No : 1158151277, BT: 04/01/2025, ÇT:25/01/2025;367,20;412.944,29
26.01.2025;Z03853;Ýþyeri no:000000000771359,Tutar : 820 Komisyon : 0,Bloke No : 1158151272, BT: 04/01/2025, ÇT:25/01/2025;820,00;412.577,09
26.01.2025;Z02824;Ýþyeri no:000000000771359,Tutar : 441,2 Komisyon : 0,Bloke No : 1158151276, BT: 04/01/2025, ÇT:25/01/2025;441,20;411.757,09
26.01.2025;Z02823;Ýþyeri no:000000000771359,Tutar : 1282 Komisyon : 0,Bloke No : 1158151275, BT: 04/01/2025, ÇT:25/01/2025;1282,00;411.315,89
26.01.2025;Z02822;Ýþyeri no:000000000771359,Tutar : 2776,4 Komisyon : 0,Bloke No : 1158151274, BT: 04/01/2025, ÇT:25/01/2025;2776,40;410.033,89
26.01.2025;Z02821;Ýþyeri no:000000000771359,Tutar : 737,5 Komisyon : 0,Bloke No : 1158151273, BT: 04/01/2025, ÇT:25/01/2025;737,50;407.257,49
26.01.2025;Z02820;Ýþyeri no:000000000771359,Tutar : 40 Komisyon : 0,Bloke No : 1158151271, BT: 04/01/2025, ÇT:25/01/2025;40,00;406.519,99
26.01.2025;Z02819;Ýþyeri no:000000000771359,Tutar : 3179,2 Komisyon : 0,Bloke No : 1158151270, BT: 04/01/2025, ÇT:25/01/2025;3179,20;406.479,99
26.01.2025;Z02818;Ýþyeri no:000000000771359,Tutar : 1495,28 Komisyon : 0,Bloke No : 1158151269, BT: 04/01/2025, ÇT:25/01/2025;1495,28;403.300,79
26.01.2025;Z02817;Ýþyeri no:000000000771359,Tutar : 1236,8 Komisyon : 0,Bloke No : 1158151268, BT: 04/01/2025, ÇT:25/01/2025;1236,80;401.805,51
25.01.2025;Z01763;Ýþyeri no:000000000771359,Tutar : 644,52 Komisyon : 0,Bloke No : 1156432637, BT: 03/01/2025, ÇT:24/01/2025;644,52;400.568,71
25.01.2025;Z01762;Ýþyeri no:000000000771359,Tutar : 1168,3 Komisyon : 0,Bloke No : 1156432636, BT: 03/01/2025, ÇT:24/01/2025;1168,30;399.924,19
25.01.2025;Z01761;Ýþyeri no:000000000771359,Tutar : 20 Komisyon : 0,Bloke No : 1156432635, BT: 03/01/2025, ÇT:24/01/2025;20,00;398.755,89
25.01.2025;Z01760;Ýþyeri no:000000000771359,Tutar : 798,5 Komisyon : 0,Bloke No : 1156432630, BT: 03/01/2025, ÇT:24/01/2025;798,50;398.735,89
25.01.2025;Z00596;Ýþyeri no:000000000771359,Tutar : 471,4 Komisyon : 0,Bloke No : 1156432634, BT: 03/01/2025, ÇT:24/01/2025;471,40;397.937,39
25.01.2025;Z00595;Ýþyeri no:000000000771359,Tutar : 1617,34 Komisyon : 0,Bloke No : 1156432633, BT: 03/01/2025, ÇT:24/01/2025;1617,34;397.465,99
25.01.2025;Z00594;Ýþyeri no:000000000771359,Tutar : 4550,44 Komisyon : 0,Bloke No : 1156432632, BT: 03/01/2025, ÇT:24/01/2025;4550,44;395.848,65
25.01.2025;Z00593;Ýþyeri no:000000000771359,Tutar : 408,4 Komisyon : 0,Bloke No : 1156432631, BT: 03/01/2025, ÇT:24/01/2025;408,40;391.298,21
25.01.2025;Z00592;Ýþyeri no:000000000771359,Tutar : 271,6 Komisyon : 0,Bloke No : 1156432629, BT: 03/01/2025, ÇT:24/01/2025;271,60;390.889,81
25.01.2025;Z00591;Ýþyeri no:000000000771359,Tutar : 3460,7 Komisyon : 0,Bloke No : 1156432628, BT: 03/01/2025, ÇT:24/01/2025;3460,70;390.618,21
25.01.2025;Z00590;Ýþyeri no:000000000771359,Tutar : 453 Komisyon : 0,Bloke No : 1156432627, BT: 03/01/2025, ÇT:24/01/2025;453,00;387.157,51
25.01.2025;Z00589;Ýþyeri no:000000000771359,Tutar : 8366 Komisyon : 0,Bloke No : 1156432626, BT: 03/01/2025, ÇT:24/01/2025;8366,00;386.704,51
25.01.2025;Z00588;Ýþyeri no:000000000771359,Tutar : 1521 Komisyon : 0,Bloke No : 1156432625, BT: 03/01/2025, ÇT:24/01/2025;1521,00;378.338,51
24.01.2025;Z02228;Ýþyeri no:000000000771359,Tutar : 200,64 Komisyon : 0,Bloke No : 1154646883, BT: 02/01/2025, ÇT:23/01/2025;200,64;376.817,51
24.01.2025;Z02227;Ýþyeri no:000000000771359,Tutar : 124 Komisyon : 0,Bloke No : 1154646881, BT: 02/01/2025, ÇT:23/01/2025;124,00;376.616,87
24.01.2025;Z02226;Ýþyeri no:000000000771359,Tutar : 1391,6 Komisyon : 0,Bloke No : 1154646879, BT: 02/01/2025, ÇT:23/01/2025;1391,60;376.492,87
24.01.2025;Z02225;Ýþyeri no:000000000771359,Tutar : 12 Komisyon : 0,Bloke No : 1154646872, BT: 02/01/2025, ÇT:23/01/2025;12,00;375.101,27
24.01.2025;Z00744;Ýþyeri no:000000000771359,Tutar : 2428 Komisyon : 0,Bloke No : 1154646877, BT: 02/01/2025, ÇT:23/01/2025;2428,00;375.089,27
24.01.2025;Z00743;Ýþyeri no:000000000771359,Tutar : 1873 Komisyon : 0,Bloke No : 1154646876, BT: 02/01/2025, ÇT:23/01/2025;1873,00;372.661,27
24.01.2025;Z00742;Ýþyeri no:000000000771359,Tutar : 2619,34 Komisyon : 0,Bloke No : 1154646875, BT: 02/01/2025, ÇT:23/01/2025;2619,34;370.788,27
24.01.2025;Z00741;Ýþyeri no:000000000771359,Tutar : 900,8 Komisyon : 0,Bloke No : 1154646874, BT: 02/01/2025, ÇT:23/01/2025;900,80;368.168,93
24.01.2025;Z00740;Ýþyeri no:000000000771359,Tutar : 5574,75 Komisyon : 0,Bloke No : 1154646871, BT: 02/01/2025, ÇT:23/01/2025;5574,75;367.268,13
24.01.2025;Z00739;Ýþyeri no:000000000771359,Tutar : 10054,02 Komisyon : 0,Bloke No : 1154646870, BT: 02/01/2025, ÇT:23/01/2025;10054,02;361.693,38
24.01.2025;Z00738;Ýþyeri no:000000000771359,Tutar : 902,4 Komisyon : 0,Bloke No : 1154646865, BT: 02/01/2025, ÇT:23/01/2025;902,40;351.639,36
23.01.2025;Z01355;Ýþyeri no:000000000771359,Tutar : 926,4 Komisyon : 0,Bloke No : 1153103101, BT: 01/01/2025, ÇT:22/01/2025;926,40;350.736,96
23.01.2025;Z01354;Ýþyeri no:000000000771359,Tutar : 488,2 Komisyon : 0,Bloke No : 1153103060, BT: 01/01/2025, ÇT:22/01/2025;488,20;349.810,56
23.01.2025;Z01353;Ýþyeri no:000000000771359,Tutar : 576 Komisyon : 0,Bloke No : 1153103059, BT: 01/01/2025, ÇT:22/01/2025;576,00;349.322,36
23.01.2025;Z00492;Ýþyeri no:000000000771359,Tutar : 4391,14 Komisyon : 0,Bloke No : 1153103067, BT: 01/01/2025, ÇT:22/01/2025;4391,14;348.746,36
23.01.2025;Z00491;Ýþyeri no:000000000771359,Tutar : 1701,92 Komisyon : 0,Bloke No : 1153103065, BT: 01/01/2025, ÇT:22/01/2025;1701,92;344.355,22
23.01.2025;Z00490;Ýþyeri no:000000000771359,Tutar : 923,99 Komisyon : 0,Bloke No : 1153103063, BT: 01/01/2025, ÇT:22/01/2025;923,99;342.653,30
23.01.2025;Z00489;Ýþyeri no:000000000771359,Tutar : 4362,34 Komisyon : 0,Bloke No : 1153103056, BT: 01/01/2025, ÇT:22/01/2025;4362,34;341.729,31
