Ýþlem Tarihi;Açýklama;Ýþlem Tutarý;Yeni Bakiye
01.10.2025;000000001120365/PAU1                   POS Aidat        02003840/000001726561468;-380,95;80086,47
01.10.2025;000000001120365/PAU1                   POS Aidat        02003840/000001726561468;-19,05;80067,42
01.10.2025;000000001120365/PAU1                   POS Aidat        02217645/000001726561481;-380,95;79686,47
01.10.2025;000000001120365/PAU1                   POS Aidat        02217645/000001726561481;-19,05;79667,42
02.10.2025;HAVALE-CARI HESABA MAHSUBEN;20728,00;100395,42
03.10.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;600000,00;700395,42
03.10.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;680395,42
03.10.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-4863,03;675532,39
03.10.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-5084,07;670448,32
04.10.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 EYLÜL;-511997,65;158450,67
09.10.2025;HAVALE-CARI HESABA MAHSUBEN;111389,91;269840,58
13.10.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744661046468;-71525,00;198315,58
14.10.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;700000,00;898315,58
14.10.2025;4988520000486642 Kredi Kart Odeme;-641040,19;257275,39
14.10.2025;"MiLLi EÐiT.OD.HES20/TALiMAT NO: 150669222;07-ALANYA;4734 SK 22/D MADDE/TÜRKÝYE C";11550,00;268825,39
14.10.2025;"MiLLi EÐiT.OD.HES20/TALiMAT NO: 150669056;07-ALANYA;4734 SK 22/D MADDE/TÜRKÝYE C";26950,00;295775,39
16.10.2025;KKIV/20250905/000000001120365/P POS Satýþ                       /000001702218694;1811,41;297586,80
16.10.2025;KKIV/20250905/000000001120365/P POS Satýþ                       /000001702218693;2304,76;299891,56
16.10.2025;KKIV/20250905/000000001120365/P POS Satýþ                       /000001702218692;4089,70;303981,26
16.10.2025;KKIV/20250905/000000001120365/P POS Satýþ                       /000001702218695;4289,60;308270,86
16.10.2025;KKIV/20250905/000000001120365/P POS Satýþ                       /000001702218696;10664,11;318934,97
16.10.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025100875143;-730,00;318204,97
17.10.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002025090024026;-154,00;318050,97
17.10.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025090024027;-153,75;317897,22
22.10.2025;"MiLLi EÐiT.OD.HES20/TALiMAT NO: 151254878;07-ALANYA;KIRTASÝYE MALZEMES/TÜRKÝYE C";14850,00;332747,22
23.10.2025;585999                ,Antalya Su       ,OTM ÖDEME,245579290;-6646,19;326101,03
30.10.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;1.500.000,00;1.826.101,03
30.10.2025;9325524-9325524 0571-10260200 KAYIP/ÇALINTI ÇEK ÝPTAL MASRAFI;-115,50;1.825.985,53
31.10.2025;0009325502     10260319 00000000 10260200;-200000,00;1.625.985,53
31.10.2025;0009325514     10102136 00000000 10260200;-250000,00;1.375.985,53
31.10.2025;9325519 01-TAKAS PROVÝZYON  10260200;-200000,00;1.175.985,53
31.10.2025;9325507 01-TAKAS PROVÝZYON  10260200;-500000,00;675985,53
01.11.2025;000000001120365/PAU1                   POS Aidat        02217645/000001755582730;-380,95;675604,58
01.11.2025;000000001120365/PAU1                   POS Aidat        02217645/000001755582730;-19,05;675585,53
01.11.2025;000000001120365/PAU1                   POS Aidat        02003840/000001755582731;-380,95;675204,58
01.11.2025;000000001120365/PAU1                   POS Aidat        02003840/000001755582731;-19,05;675185,53
03.11.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;655185,53
03.11.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-4863,03;650322,50
03.11.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-5084,07;645238,43
04.11.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 EKÝM;-524738,83;120499,60
04.11.2025;HAVALE-CARI HESABA MAHSUBEN;94483,57;214983,17
04.11.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ 'DAN ZÝRAAT HESABINDAN HALKB;100000,00;314983,17
04.11.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;500000,00;814983,17
10.11.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-1547,33;813435,84
10.11.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-1547,33;811888,51
11.11.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744623320690;-48865,00;763023,51
12.11.2025;4988520000486642 Kredi Kart Odeme;-410128,54;352894,97
16.11.2025;KKIV/20251006/000000001120365/P POS Satýþ                       /000001731543777;15,00;352909,97
17.11.2025;ÇÞ0053377  VERGÝ TAHSÝLATI, 007201/0480525636                  0571/10260200/;-5704,89;347205,08
