Ýþlem Tarihi;Açýklama;Ýþlem Tutarý;Yeni Bakiye
17.11.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025112686830;-730,00;346475,08
18.11.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025100023461;-167,25;346307,83
21.11.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002025100023460;-167,25;346140,58
24.11.2025;585999                ,Antalya Su       ,OTM ÖDEME,247008820;-4965,82;341174,76
01.12.2025;000000001120365/PAU1                   POS Aidat        02003840/000001783702551;-380,95;340793,81
01.12.2025;000000001120365/PAU1                   POS Aidat        02003840/000001783702551;-19,05;340774,76
01.12.2025;000000001120365/PAU1                   POS Aidat        02217645/000001783702553;-380,95;340393,81
01.12.2025;000000001120365/PAU1                   POS Aidat        02217645/000001783702553;-19,05;340374,76
01.12.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZÝRAAT HESABINDAN HALKBANK HESABINA VÝR;1.800.000,00;2.140.374,76
01.12.2025;0009325503     10260319 00000000 10260200;-200000,00;1.940.374,76
01.12.2025;0009325515     10102136 00000000 10260200;-250000,00;1.690.374,76
01.12.2025;9325520 01-TAKAS PROVÝZYON  10260200;-200000,00;1.490.374,76
01.12.2025;9325508 01-TAKAS PROVÝZYON  10260200;-500000,00;990374,76
03.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 KASIM;-562264,92;428109,84
03.12.2025;HAVALE-CARI HESABA MAHSUBEN;16120,20;444230,04
05.12.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;424230,04
05.12.2025;HAVALE MASRAFI;-6,41;424223,63
05.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-884,19;423339,44
05.12.2025;HAVALE MASRAFI;-3,20;423336,24
05.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-884,19;422452,05
05.12.2025;HAVALE MASRAFI;-3,20;422448,85
08.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ;-1547,33;420901,52
08.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ;-6,39;420895,13
08.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAYIN.ÝNÞTÝC.SAN.LTD.ÞTÝ ,TR13 0001 2009 5710 0010 2;-1547,33;419347,80
08.12.2025;HAVALE MASRAFI;-3,20;419344,60
11.12.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744231273448;-34620,00;384724,60
15.12.2025;4988520000486642 Kredi Kart Odeme;-187512,64;197211,96
16.12.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025124300848;-730,00;196481,96
17.12.2025;2025 ÝÞYERÝ KÝRA BEDELÝ;-90000,00;106481,96
17.12.2025;HAVALE MASRAFI;-6,41;106475,55
19.12.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002025110023095;-167,25;106308,30
19.12.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025110023096;-211,00;106097,30
23.12.2025;585999                ,Antalya Su       ,OTM ÖDEME,248436652;-5069,54;101027,76
31.12.2025;0009325504     10260319 00000000 10260200;-200000,00;-98972,24
31.12.2025;0009325516     10102136 00000000 10260200;-250000,00;-348972,24
31.12.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC/HALKBANK HESABINA VÝRMAN;1.200.000,00;851027,76
31.12.2025;9325521 01-TAKAS PROVÝZYON  10260200;-200000,00;651027,76
31.12.2025;9325509 01-TAKAS PROVÝZYON  10260200;-600000,00;51027,76
31.12.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;620000,00;671027,76
31.12.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 ARALIK;-639744,85;31282,91
31.12.2025;KMH FAÝZÝ;-523,45;30759,46
31.12.2025;%5.000 KREDÝ FAÝZ GÝDER VERGÝSÝ;-26,17;30733,29
