Tarih;Açýklama;Ýþlem Tutarý;Güncel Bakiye
25.09.2025;GELEN HAVALE -EMÝN DÝNÇ -;1400,00;975.253,88
26.09.2025;1801374784X260925250825PEÞÝNSATIÞ;1499,50;976.753,38
26.09.2025;1801374784X260925250825PEÞÝNSATIÞKATKIPAYI;-7,50;976.745,88
26.09.2025;1801374784X260925250925PEÞÝNSATIÞ;7534,15;984.280,03
26.09.2025;1801374784X260925250925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-142,38;984.137,65
26.09.2025;1801374784X260925250925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-7,12;984.130,53
26.09.2025;1801374784X260925160825PEÞÝNSATIÞ;35471,80;1.019.602,33
26.09.2025;1801374784X260925290825TAKSÝTSATIÞ;627,23;1.020.229,56
26.09.2025;1801374784X260925290825TAKSÝTLÝSATIÞKATKIPAYI;-12,54;1.020.217,02
26.09.2025;1801374784X260925290825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-7,21;1.020.209,81
26.09.2025;1801374784X260925290825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,36;1.020.209,45
26.09.2025;1801374784X260925300725TAKSÝTSATIÞ;299,97;1.020.509,42
26.09.2025;1801374784X260925300725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-3,44;1.020.505,98
26.09.2025;1801374784X260925300725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,17;1.020.505,81
26.09.2025;2425181907 TELEKOM;-153,50;1.020.352,31
27.09.2025;1801374784X270925300825TAKSÝTSATIÞ;1949,50;1.022.301,81
27.09.2025;1801374784X270925300825TAKSÝTLÝSATIÞKATKIPAYI;-58,49;1.022.243,32
27.09.2025;1801374784X270925300825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-22,41;1.022.220,91
27.09.2025;1801374784X270925300825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,12;1.022.219,79
27.09.2025;1801374784X270925260825PEÞÝNSATIÞ;7496,45;1.029.716,24
27.09.2025;1801374784X270925260825PEÞÝNSATIÞKATKIPAYI;-37,49;1.029.678,75
27.09.2025;1801374784X270925260925PEÞÝNSATIÞ;12487,40;1.042.166,15
27.09.2025;1801374784X270925260925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-235,99;1.041.930,16
27.09.2025;1801374784X270925260925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-11,80;1.041.918,36
27.09.2025;1801374784X270925170825PEÞÝNSATIÞ;21683,20;1.063.601,56
28.09.2025;1801374784X280925270825PEÞÝNSATIÞ;1490,85;1.065.092,41
28.09.2025;1801374784X280925270825PEÞÝNSATIÞKATKIPAYI;-7,46;1.065.084,95
28.09.2025;1801374784X280925180825PEÞÝNSATIÞ;46170,20;1.111.255,15
28.09.2025;1801374784X280925020725TAKSÝTSATIÞ;1416,50;1.112.671,65
28.09.2025;1801374784X280925020725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-16,28;1.112.655,37
28.09.2025;1801374784X280925020725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,81;1.112.654,56
28.09.2025;1801374784X280925270925PEÞÝNSATIÞ;18258,08;1.130.912,64
28.09.2025;1801374784X280925270925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-345,06;1.130.567,58
28.09.2025;1801374784X280925270925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-17,25;1.130.550,33
29.09.2025;1801374784X290925030725TAKSÝTSATIÞ;1959,50;1.132.509,83
29.09.2025;1801374784X290925030725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-22,53;1.132.487,30
29.09.2025;1801374784X290925030725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,13;1.132.486,17
29.09.2025;1801374784X290925280925PEÞÝNSATIÞ;5249,00;1.137.735,17
29.09.2025;1801374784X290925280925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-99,20;1.137.635,97
29.09.2025;1801374784X290925280925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-4,96;1.137.631,01
29.09.2025;1801374784X290925280825PEÞÝNSATIÞ;4604,95;1.142.235,96
29.09.2025;1801374784X290925280825PEÞÝNSATIÞKATKIPAYI;-23,03;1.142.212,93
29.09.2025;1801374784X290925190825PEÞÝNSATIÞ;32670,20;1.174.883,13
29.09.2025;POS-1801374784 09/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-35,00;1.174.848,13
29.09.2025;BSMV POS-1801374784 09/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-1,75;1.174.846,38
30.09.2025;1801374784X300925040725TAKSÝTSATIÞ;2627,52;1.177.473,90
30.09.2025;1801374784X300925040725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-30,21;1.177.443,69
30.09.2025;1801374784X300925040725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,51;1.177.442,18
30.09.2025;1801374784X300925200825PEÞÝNSATIÞ;49627,95;1.227.070,13
30.09.2025;1801374784X300925290825PEÞÝNSATIÞ;3469,20;1.230.539,33
30.09.2025;1801374784X300925290825PEÞÝNSATIÞKATKIPAYI;-17,35;1.230.521,98
30.09.2025;1801374784X300925290925PEÞÝNSATIÞ;9616,80;1.240.138,78
30.09.2025;1801374784X300925290925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-181,75;1.239.957,03
30.09.2025;1801374784X300925290925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-9,09;1.239.947,94
30.09.2025;GÝDEN EFT - Alanya Özkan kýrtasiye mat.yay.inþ.tic.ltd.þti - Ziraat bankasi hesabina virman;-1210000,00;29.947,94
30.09.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/Alanya Özkan ký/Ziraat bankasi;-152,35;29.795,59
30.09.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/Alanya Özkan ký/Ziraat bankasi;-7,62;29.787,97
