islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
01.09.2025,3249713458_nolu_ck_akdenyz_elektryk_perakende_satiþ_a.þ_324658404653_fatura_odemesi,-240.0,896710.49,102.25,albaraka
17.09.2025,ahmet__gunal/3._þahis_para_yatyrma,1408010.0,2304720.49,102.25,albaraka
22.09.2025,5304841688_nolu_turkcell_0000007022096613_fatura_odemesi,-99.0,2304621.49,102.25,albaraka
22.09.2025,5304841689_nolu_turkcell_0000007022096614_fatura_odemesi,-99.0,2304522.49,102.25,albaraka
30.09.2025,sn:5046_alanya_ozkan_kirtasyye_matbaacilik_yayincilik_ynþaat_tycaret_lymyted_þyrkety_ack:_halkb_hesabymyza_gonderilen__1100000.00_try_gon:albaraka_alici_banka:_12_sube:_90001,-1100000.0,1204522.49,102.25,albaraka
