islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
25/07/2025,1801374784x250725280425uye_yþyery_ucrety_-_taksyt,-17.6,860710.93,102.01,ykb
25/07/2025,1801374784x250725280425taksytsatiþ,1530.66,860728.53,102.01,ykb
24/07/2025,1801374784x240725230725uye_yþyery_ucrety_-_peþyn_(bsmv),-36.76,859197.87,102.01,ykb
24/07/2025,1801374784x240725230725uye_yþyery_ucrety_-_peþyn,-735.27,859234.63,102.01,ykb
24/07/2025,1801374784x240725230725peþynsatiþ,38904.53,859969.9,102.01,ykb
24/07/2025,1801374784x240725130625peþynsatiþ,13650.05,821065.37,102.01,ykb
24/07/2025,1801374784x240725270525uye_yþyery_ucrety_-_taksyt_(bsmv),-1.53,807415.32,102.01,ykb
24/07/2025,1801374784x240725270525uye_yþyery_ucrety_-_taksyt,-30.59,807416.85,102.01,ykb
24/07/2025,1801374784x240725270525taksytsatiþ,2660.65,807447.44,102.01,ykb
24/07/2025,1801374784x240725220625peþynsatiþkatkipayi,-1.05,804786.79,102.01,ykb
24/07/2025,1801374784x240725220625peþynsatiþ,210.0,804787.84,102.01,ykb
23/07/2025,1801374784x230725220725uye_yþyery_ucrety_-_peþyn_(bsmv),-46.21,804577.84,102.01,ykb
23/07/2025,1801374784x230725220725uye_yþyery_ucrety_-_peþyn,-924.18,804624.05,102.01,ykb
23/07/2025,1801374784x230725220725peþynsatiþ,48900.45,805548.23,102.01,ykb
23/07/2025,1801374784x230725120625peþynsatiþ,4998.6,756647.78,102.01,ykb
23/07/2025,1801374784x230725210625peþynsatiþkatkipayi,-22.11,751649.18,102.01,ykb
23/07/2025,1801374784x230725210625peþynsatiþ,4419.95,751671.29,102.01,ykb
23/07/2025,1801374784x230725260425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.73,747251.34,102.01,ykb
23/07/2025,1801374784x230725260425uye_yþyery_ucrety_-_taksyt,-14.56,747252.07,102.01,ykb
23/07/2025,1801374784x230725260425taksytsatiþ,1266.8,747266.63,102.01,ykb
