islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
16.07.2025,"9927702875____________,turk_telekom_(mob,otm_odeme,20252004966513",-3516.25,95394.1,102.04,halkbank
16.07.2025,"1807476754____________,turk_telekom_(ynt,otm_odeme,0002025066829245",-704.0,94690.1,102.04,halkbank
17.07.2025,havale-cari_hesaba_mahsuben,154636.7,249326.8,102.04,halkbank
18.07.2025,"2425131303____________,turk_telekom(tele,otm_odeme,0002025060024761",-153.25,249173.55,102.04,halkbank
18.07.2025,"2425138920____________,turk_telekom(tele,otm_odeme,0002025060024762",-153.25,249020.3,102.04,halkbank
21.07.2025,kkiv/20250610/000000001120365/p_pos_satys_______________________/000001621046371,62.4,249082.7,102.04,halkbank
21.07.2025,kkiv/20250610/000000001120365/p_pos_satys_______________________/000001621046379,405.0,249487.7,102.04,halkbank
21.07.2025,kkiv/20250610/000000001120365/p_pos_satys_______________________/000001621046375,2840.0,252327.7,102.04,halkbank
21.07.2025,kkiv/20250610/000000001120365/p_pos_satys_______________________/000001621046372,3988.75,256316.45,102.04,halkbank
21.07.2025,kkiv/20250610/000000001120365/p_pos_satys_______________________/000001621046374,7877.97,264194.42,102.04,halkbank
22.07.2025,kkiv/20250611/000000001120365/p_pos_satys_______________________/000001621941145,3837.81,268032.23,102.04,halkbank
22.07.2025,kkiv/20250611/000000001120365/p_pos_satys_______________________/000001621941150,15500.0,283532.23,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622848000,48.0,283580.23,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622847989,611.5,284191.73,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622848014,800.0,284991.73,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622847992,985.0,285976.73,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622847987,999.0,286975.73,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622847988,1364.0,288339.73,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622847990,12675.29,301015.02,102.04,halkbank
23.07.2025,kkiv/20250612/000000001120365/p_pos_satys_______________________/000001622847991,15430.62,316445.64,102.04,halkbank
24.07.2025,kkiv/20250613/000000001120365/p_pos_satys_______________________/000001623760637,605.0,317050.64,102.04,halkbank
24.07.2025,kkiv/20250613/000000001120365/p_pos_satys_______________________/000001623760623,1101.9,318152.54,102.04,halkbank
24.07.2025,kkiv/20250613/000000001120365/p_pos_satys_______________________/000001623760624,1200.0,319352.54,102.04,halkbank
24.07.2025,kkiv/20250613/000000001120365/p_pos_satys_______________________/000001623760626,55243.86,374596.4,102.04,halkbank
25.07.2025,"585999________________,antalya_su_______,otm_odeme,241242735",-2689.91,371906.49,102.04,halkbank
27.07.2025,kkiv/20250616/000000001120365/p_pos_satys_______________________/000001626379094,1000.0,372906.49,102.04,halkbank
27.07.2025,kkiv/20250616/000000001120365/p_pos_satys_______________________/000001626379096,29461.27,402367.76,102.04,halkbank
27.07.2025,kkiv/20250616/000000001120365/p_pos_satys_______________________/000001626379093,36238.39,438606.15,102.04,halkbank
28.07.2025,kkiv/20250617/000000001120365/p_pos_satys_______________________/000001627312376,397.0,439003.15,102.04,halkbank
28.07.2025,kkiv/20250617/000000001120365/p_pos_satys_______________________/000001627312379,2200.0,441203.15,102.04,halkbank
28.07.2025,kkiv/20250617/000000001120365/p_pos_satys_______________________/000001627312386,10553.33,451756.48,102.04,halkbank
